source_id,original_ext_source_id,gaia_astrometric_params,tmass_oid,number_of_neighbours,number_of_mates,best_neighbour_multiplicity,col2mass,parallax,parallax_error,pmra,pmdec,pmra_error,pmdec_error,ra,dec,astrometric_chi2_al,astrometric_n_good_obs_al,phot_bp_rp_excess_factor,bp_rp,bp_g,phot_g_mean_mag,g_rp,phot_bp_mean_mag,visibility_periods_used
2207219977302176256,22564503+6236500,5,456182398,1,0,1,22564503+6236500,1.4808360053875704,0.6145623768704326,-0.5024677876613055,-3.724167424346903,1.399341873129473,0.9857399865682227,344.1876274877964,62.61384515467505,310.7742,227,3.78342,1.6768608,-0.3546219,20.29435,2.0314827,19.939728,16
2207215235654445952,22564513+6229180,5,455960582,1,0,1,22564513+6229180,0.933140159693607,0.10370347846268571,-1.2349775631719355,-2.3821447511926213,0.1899884692808282,0.1508237978983082,344.18803480851886,62.48831399544545,339.35678,266,1.6080394,2.7138996,1.4152393,17.782497,1.2986603,19.197737,18
2207221184189904768,22564532+6241155,5,456313191,1,0,1,22564532+6241155,2.054138437748955,0.29079115371638053,-0.29828533386553285,-1.8980280994844874,0.48771243593493385,0.4011901719273927,344.1888259196982,62.687657696203644,2613.985,299,1.7536114,3.0813122,1.6492577,17.75512,1.4320545,19.404377,18
2207219702420960256,22564566+6235349,5,456144956,1,0,1,22564566+6235349,1.052404173613467,0.10367024519979702,-0.6760041486741549,-2.4124434602351523,0.1932416221455885,0.1521003710382686,344.19022200855153,62.593021593800245,333.71222,277,1.737051,2.7031555,1.3220406,17.761398,1.381115,19.083439,17
2207221184189909248,22564565+6240591,5,456305087,1,0,1,22564565+6240591,1.1564361458050787,0.1377740004418549,0.27153521036889416,-2.5775993530895382,0.23317864600222413,0.1930502301930854,344.190224552932,62.68308297981429,484.4006,299,1.8727149,3.0837116,1.5800934,18.108833,1.5036182,19.688927,18
2207292716872364288,22564579+6246017,5,456454198,1,0,1,22564579+6246017,-0.26668407093106,1.7100370651439263,2.5348028622553733,-5.306032256893537,3.68847848528128,2.3135000784920385,344.1908888629165,62.76715300170677,176.35445,125,3.0795667,1.8773079,0.018995285,20.930801,1.8583126,20.949797,9
2207220909306967040,22564596+6239238,5,456257856,1,0,1,22564596+6239238,1.0394810535358499,0.25246881404549537,-0.42507623124833827,-2.197461709351935,0.5228935015036359,0.38022400933983513,344.1915053061625,62.65662822337432,403.41537,271,2.0064259,2.92025,1.357748,19.103294,1.5625019,20.461042,17
2207291857874801152,22564603+6244041,5,456396234,1,0,1,22564603+6244041,0.8503845788637173,0.3763672637791698,-0.4344345129469229,-3.125163122931429,0.5893760503154164,0.9631602874968425,344.19181314049035,62.734490848467665,127.772194,105,1.8754815,2.4906807,1.0552406,18.856703,1.4354401,19.911943,10
2207292716867892608,22564716+6245380,5,456442457,1,0,1,22564716+6245380,1.1553796181057208,0.1197160553503704,-0.4593994217401343,-1.5653831889673695,0.22602254344053277,0.19465961027954215,344.19658137537976,62.760552731121265,345.4502,279,1.7172823,3.06184,1.654314,18.18489,1.407526,19.839205,19
2207244647591798656,22564724+6241131,5,456311918,1,0,1,22564724+6241131,1.2547816722501843,0.34837632113554473,-0.8906828994791341,-3.144064320483189,0.6186400847526566,0.4563873089851706,344.196843522956,62.686981960673926,375.19568,253,2.017771,2.7630692,1.2119999,19.453,1.5510693,20.664999,17
2207291582994462976,22564756+6242203,5,456344879,1,0,1,22564756+6242203,0.08707254620176,0.4217671333358867,-0.38868497168003235,-2.754833759654697,0.9162990921579985,0.6185835177505518,344.1981195952901,62.70564124038103,478.7756,236,2.2236602,2.638054,0.9971485,19.50184,1.6409054,20.49899,15
2207291862166569216,22564761+6244177,5,456402984,1,0,1,22564761+6244177,1.421681593891492,0.10148012607999646,-0.38260896949184653,-1.904901912628278,0.1818277716450288,0.15000793930562217,344.1983104524117,62.738299149448956,435.70633,249,1.7989883,3.254734,1.7801723,17.326319,1.4745617,19.106491,16
2207291857874850048,22564777+6244089,5,456398606,1,0,1,22564777+6244089,-0.09446344964905776,0.5628724626982267,0.5325800386709031,-2.629284852699678,0.7908314442679646,0.5556879095776815,344.19909679001626,62.73588390486493,127.14804,98,1.896932,2.6602364,1.1889782,19.016832,1.4712582,20.20581,9
2207220084678312448,22564776+6238136,5,456223312,1,0,1,22564776+6238136,1.1290257313058074,0.06102864120586351,-0.13643575105466454,-2.58778013272864,0.12166002181732778,0.08812511942034124,344.19901316346255,62.63711025920753,356.58603,257,1.5959616,2.4903822,1.2302113,16.716423,1.2601709,17.946634,17
2207220840587513344,22564800+6238399,5,456236250,1,0,1,22564800+6238399,1.1810858156165631,0.22016031674856065,-0.050132561692695976,-2.183546477140665,0.37887105617684214,0.30221405686303027,344.1999796986127,62.64441702833272,326.13702,271,2.188106,2.390297,0.80291367,19.004951,1.5873833,19.807865,18
2207291651724606592,22564806+6242557,5,456362364,1,0,1,22564806+6242557,1.2997101738298733,0.24917167706031695,-1.0450192267139136,-2.3019263016351417,0.398144771619906,0.33369328070794557,344.20028574264984,62.71547494892644,249.96985,220,1.8826783,2.970522,1.4719849,18.902205,1.4985371,20.37419,15
